seed,threshold,output_class_index,hcat_code,class_name,emitted_count,errors,empirical_risk,risk_upper,coverage_contribution,coverage_contribution_lower,risk_certified
1,0.9,5,3301010500,oats,6,0,0.0,0.7394996345206543,0.0005757052389176742,8.483052528884816e-05,False
1,0.9,6,3301010600,grain maize,48,0,0.0,0.15476778341277242,0.004605641911341394,0.0026690135261413506,False
1,0.9,7,3301020100,beans,3,0,0.0,0.9321395595851273,0.0002878526194588371,1.2214166634993973e-05,False
1,0.9,8,3301020600,peas,176,4,0.022727272727272728,0.08955097606259683,0.01688735367491844,0.012897282858628345,True
1,0.9,9,3301030000,potatoes,26,7,0.2692307692307692,0.6191602294665034,0.002494722701976588,0.0011533261016595242,False
1,0.9,10,3301060401,winter rapeseed,868,19,0.021889400921658985,0.044344988569825605,0.08328535789675685,0.07430658848010252,True
1,0.9,11,3301070000,fresh vegetables,1,1,1.0,1.0,9.595087315294569e-05,2.998933346098909e-08,False
1,0.9,12,3301090301,alfalfa,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
1,0.9,13,3301090303,clover,213,16,0.07511737089201878,0.15603475190418456,0.020437535981577434,0.01602163455371941,False
1,0.9,14,3301110000,fallow land,2,1,0.5,0.9998437377910611,0.00019190174630589137,2.419106804874005e-06,False
1,0.9,15,3301150200,buckwheat,26,0,0.0,0.2668606345527228,0.002494722701976588,0.0011533261016595242,False
1,0.95,0,3301010101,winter common soft wheat,1382,32,0.023154848046309694,0.04036428209490647,0.13260410669737094,0.12148270502821046,True
1,0.95,1,3301010102,spring common soft wheat,0,0,,1.0,0.0,0.0,False
1,0.95,2,3301010300,rye,19,0,0.0,0.346089332563679,0.0018230665899059682,0.0007218417502644625,False
1,0.95,3,3301010401,winter barley,210,6,0.02857142857142857,0.09086854301725945,0.020149683362118594,0.0157667811272042,True
1,0.95,4,3301010402,spring barley,118,4,0.03389830508474576,0.13129151996455166,0.011322203032047591,0.008107511344578322,False
1,0.95,5,3301010500,oats,0,0,,1.0,0.0,0.0,False
1,0.95,6,3301010600,grain maize,36,0,0.0,0.2008381881817709,0.0034542314335060447,0.0018197781056163986,False
1,0.95,7,3301020100,beans,0,0,,1.0,0.0,0.0,False
1,0.95,8,3301020600,peas,99,2,0.020202020202020204,0.12070012770790096,0.009499136442141624,0.0065802138810071575,False
1,0.95,9,3301030000,potatoes,4,1,0.25,0.956778436147846,0.00038380349261178274,3.005592395455281e-05,False
1,0.95,10,3301060401,winter rapeseed,848,11,0.012971698113207548,0.03211800158321814,0.08136634043369795,0.07248672047284044,True
1,0.95,11,3301070000,fresh vegetables,0,0,,1.0,0.0,0.0,False
1,0.95,12,3301090301,alfalfa,0,0,,1.0,0.0,0.0,False
1,0.95,13,3301090303,clover,83,3,0.03614457831325301,0.16322604229585255,0.007963922471694493,0.005317462901012426,False
1,0.95,14,3301110000,fallow land,0,0,,1.0,0.0,0.0,False
1,0.95,15,3301150200,buckwheat,13,0,0.0,0.4625066708315637,0.001247361350988294,0.0003894301023988911,False
1,0.975,0,3301010101,winter common soft wheat,1112,23,0.02068345323741007,0.039538302042899334,0.1066973709460756,0.09661484389414587,True
1,0.975,1,3301010102,spring common soft wheat,0,0,,1.0,0.0,0.0,False
1,0.975,2,3301010300,rye,9,0,0.0,0.592113913451976,0.0008635578583765112,0.0001994156649716139,False
1,0.975,3,3301010401,winter barley,171,3,0.017543859649122806,0.0820933809082513,0.016407599309153715,0.012478549183650989,True
1,0.975,4,3301010402,spring barley,49,1,0.02040816326530612,0.19494606899564432,0.0047015927844943385,0.002741590248206416,False
1,0.975,5,3301010500,oats,0,0,,1.0,0.0,0.0,False
1,0.975,6,3301010600,grain maize,26,0,0.0,0.2668606345527228,0.002494722701976588,0.0011533261016595242,False
1,0.975,7,3301020100,beans,0,0,,1.0,0.0,0.0,False
1,0.975,8,3301020600,peas,47,1,0.02127659574468085,0.20242346076465695,0.004509691038188448,0.00259668198048546,False
1,0.975,9,3301030000,potatoes,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
1,0.975,10,3301060401,winter rapeseed,821,8,0.0097442143727162,0.02766751395191301,0.07877566685856842,0.0700323005894351,True
1,0.975,11,3301070000,fresh vegetables,0,0,,1.0,0.0,0.0,False
1,0.975,12,3301090301,alfalfa,0,0,,1.0,0.0,0.0,False
1,0.975,13,3301090303,clover,24,1,0.041666666666666664,0.36102010771190485,0.002302820955670697,0.0010264084919233696,False
1,0.975,14,3301110000,fallow land,0,0,,1.0,0.0,0.0,False
1,0.975,15,3301150200,buckwheat,7,0,0.0,0.6843074822205404,0.0006716561120706199,0.0001194789822512865,False
2,0.8,0,3301010101,winter common soft wheat,2026,204,0.10069101678183613,0.12542278458056208,0.19439646900786797,0.18133169578921893,False
2,0.8,1,3301010102,spring common soft wheat,23,1,0.043478260869565216,0.37364091486515166,0.002206870082517751,0.0009639484005449228,False
2,0.8,2,3301010300,rye,32,3,0.09375,0.37951522711715224,0.003070427940894262,0.0015476398305325212,False
2,0.8,3,3301010401,winter barley,264,18,0.06818181818181818,0.1370158232686565,0.025331030512377662,0.020387942220708166,False
2,0.8,4,3301010402,spring barley,510,45,0.08823529411764706,0.13887493655775787,0.048934945308002305,0.04201150876095827,False
2,0.8,5,3301010500,oats,37,3,0.08108108108108109,0.3361858771098631,0.0035501823066589906,0.0018887907168974039,False
2,0.8,6,3301010600,grain maize,65,2,0.03076923076923077,0.17881081532230694,0.00623680675494147,0.003931088839480346,False
2,0.8,7,3301020100,beans,24,4,0.16666666666666666,0.5265340067586076,0.002302820955670697,0.0010264084919233696,False
2,0.8,8,3301020600,peas,274,18,0.06569343065693431,0.13219759112811488,0.02629053924390712,0.02125065432741502,False
2,0.8,9,3301030000,potatoes,102,33,0.3235294117647059,0.4961296374318935,0.00978698906160046,0.0068195471532888075,False
2,0.8,10,3301060401,winter rapeseed,871,31,0.03559127439724455,0.06225252898896372,0.0835732105162157,0.07457969582723056,True
2,0.8,11,3301070000,fresh vegetables,5,3,0.6,0.99437827068284,0.00047975436576472844,5.4687155785049235e-05,False
2,0.8,12,3301090301,alfalfa,7,1,0.14285714285714285,0.8058517457433175,0.0006716561120706199,0.0001194789822512865,False
2,0.8,13,3301090303,clover,499,88,0.17635270541082165,0.24081229856256572,0.0478794857033199,0.041031230627564974,False
2,0.8,14,3301110000,fallow land,4,2,0.5,0.9927480719738079,0.00038380349261178274,3.005592395455281e-05,False
2,0.8,15,3301150200,buckwheat,45,2,0.044444444444444446,0.24923010036856746,0.004317789291882556,0.0024527858165031002,False
2,0.85,0,3301010101,winter common soft wheat,1870,136,0.07272727272727272,0.09543243964251528,0.17942813279600844,0.16677776120938104,True
2,0.85,1,3301010102,spring common soft wheat,9,0,0.0,0.592113913451976,0.0008635578583765112,0.0001994156649716139,False
2,0.85,2,3301010300,rye,27,1,0.037037037037037035,0.3277279914360661,0.0025906735751295338,0.0012177087960137944,False
2,0.85,3,3301010401,winter barley,251,16,0.06374501992031872,0.1333158757680657,0.02408366916138937,0.01926940015617251,False
