category,seed0_count,seed1_count,seed2_count,seed0_percent,seed1_percent,seed2_percent
15 Apr,1466,1378,1397,10.554355651547876,9.92080633549316,10.05759539236861
15 May,1475,1549,1531,10.61987041036717,11.15190784737221,11.02231821454284
15 Jun,1196,1202,1161,8.610511159107272,8.65370770338373,8.3585313174946
15 Jul,901,855,923,6.486681065514759,6.155507559395248,6.645068394528438
15 Aug,386,358,362,2.778977681785457,2.57739380849532,2.606191504679626
15 Sep,201,216,195,1.447084233261339,1.555075593952484,1.403887688984881
Deferred,8265,8332,8321,59.50323974082073,59.98560115190785,59.90640748740101
